20000,30000
18214.4310520136,29839.2958859863
16486.2517591866,29362.3487063974
14871.0072259409,28584.4879360187
13420.6127406029,27530.7146600361
12181.6851753197,26234.8980185873
11194.0446814326,24738.68662473
10489.4348370485,23090.1699437495
10090.5023823207,21342.3326581766
10010.0693345869,19551.3516964949
10250.7208781818,17774.7906604369
10804.7222744855,16069.7496834608
11654.267462787,14491.030185479
12772.0513617261,13089.3735101314
14122.1474770753,11909.8300562505
15661.1626088244,10990.3113209758
17339.6315443332,10360.3713930415
19103.6069109657,10040.2570600476
20896.3930890343,10040.2570600476
22660.3684556668,10360.3713930415
24338.8373911756,10990.3113209758
25877.8525229247,11909.8300562505
27227.9486382739,13089.3735101314
28345.732537213,14491.030185479
29195.2777255145,16069.7496834608
29749.2791218182,17774.7906604369
29989.9306654131,19551.3516964948
29909.4976176794,21342.3326581766
29510.5651629515,23090.1699437495
28805.9553185674,24738.68662473
27818.3148246803,26234.8980185873
26579.3872593971,27530.7146600361
25128.9927740591,28584.4879360187
23513.7482408134,29362.3487063974
21785.5689479864,29839.2958859863
20000,20000
20000,26000
18231.4689535346,25733.4368347168
16620.0796516183,24957.432645896
15309.0111051918,23740.9388111524
14414.7575081348,22192.0461461984
14016.7772169129,20448.3805615185
14150.4325269091,18664.8743962621
14803.8475772934,17000
15918.9635733745,15601.688769021
17396.6975652946,14594.1867925855
19105.746402943,14067.0150426492
20894.253597057,14067.0150426492
22603.3024347053,14594.1867925855
24081.0364266255,15601.688769021
25196.1524227066,17000
25849.5674730909,18664.8743962621
25983.2227830871,20448.3805615185
25585.2424918652,22192.0461461984
24690.9888948082,23740.9388111524
23379.9203483817,24957.432645896
21768.5310464654,25733.4368347168
20000,23000
18851.9497029047,22771.6385975339
17878.6796564404,22121.3203435596
17228.3614024661,21148.0502970953
17000,20000
17228.3614024661,18851.9497029047
17878.6796564404,17878.6796564404
18851.9497029047,17228.3614024661
20000,17000
21148.0502970953,17228.3614024661
22121.3203435596,17878.6796564404
22771.6385975339,18851.9497029047
23000,20000
22771.6385975339,21148.0502970953
22121.3203435596,22121.3203435596
21148.0502970953,22771.6385975339
20000,21000
19657.9798566743,20939.6926207859
19357.2123903135,20766.044443119
19133.9745962156,20500
19015.1922469878,20173.6481776669
19015.1922469878,19826.3518223331
19133.9745962156,19500
19357.2123903135,19233.955556881
19657.9798566743,19060.3073792141
20000,19000
20342.0201433257,19060.3073792141
20642.7876096865,19233.955556881
20866.0254037844,19500
20984.8077530122,19826.3518223331
20984.8077530122,20173.6481776669
20866.0254037844,20500
20642.7876096865,20766.044443119
20342.0201433257,20939.6926207859
20000,20500
19646.4466094067,20353.5533905933
19500,20000
19646.4466094067,19646.4466094067
20000,19500
20353.5533905933,19646.4466094067
20500,20000
20353.5533905933,20353.5533905933
20000,20200
19809.788696741,20061.803398875
19882.4429495415,19838.196601125
20117.5570504585,19838.196601125
20190.211303259,20061.803398875
20000,20050
19950,20000
20000,19950
20050,20000
19956.6987298108,19975
20043.3012701892,19975
